parameter,estimate,se_design,se_model,kind,deff,lo,hi
police|t1,-0.9150521411336622,0.04096084011322213,0.037890991683047555,threshold,1.1685996918523145,-0.9965513645042452,-0.8335529177630792
police|t2,-0.4737450959279203,0.036381444101208124,0.03383876070174314,threshold,1.1559284927894173,-0.546132757683706,-0.4013574341721347
police|t3,-0.06617259309123029,0.03719544105085968,0.0325085739936733,threshold,1.3091324465456287,-0.14017985344507322,0.007834667262612657
police|t4,0.3861459025520079,0.03766239385031862,0.033403075723416685,threshold,1.2712850070125334,0.3112095525993816,0.46108225250463425
police|t5,0.8884013630108937,0.041518693625894415,0.037688691345586486,threshold,1.2135711529690476,0.8057921861356543,0.9710105398861331
police|t6,1.436753381866739,0.04765276794104187,0.048296811528334004,threshold,0.9735075931907787,1.3419393212195825,1.5315674425138956
political_parties|t1,-0.30627816238744965,0.03589833234627032,0.033041711865427544,threshold,1.1803844197756816,-0.3777045832917343,-0.23485174148316504
political_parties|t2,0.11988519487219526,0.03501522974281206,0.03257285327748796,threshold,1.1555862198556932,0.05021587114022075,0.18955451860416977
political_parties|t3,0.5672036818443811,0.03810315683359958,0.03449374578484829,threshold,1.2202286002421374,0.4913903518120346,0.6430170118767276
political_parties|t4,1.0702694615386157,0.042340741618009076,0.040301362953913206,threshold,1.1037671221329477,0.9860246670162406,1.154514256060991
political_parties|t5,1.6408353497734147,0.05589905266781054,0.054780168821505326,threshold,1.0412671395743853,1.529613769186075,1.7520569303607545
political_parties|t6,2.176893773673067,0.08174443196876885,0.08370685318395608,threshold,0.9536616736547192,2.0142479953660546,2.3395395519800797
supreme_court|t1,-0.5487036065063092,0.03302772336743518,0.03433171927812227,threshold,0.9254781532129065,-0.6144184159854129,-0.4829887970272055
supreme_court|t2,-0.10272430111569505,0.033105847193968634,0.03254476632428839,threshold,1.034777786361472,-0.16859455250398853,-0.03685404972740158
supreme_court|t3,0.3459629372547346,0.03411375357056557,0.03321586212828753,threshold,1.0547947449308281,0.2780872683336012,0.413838606175868
supreme_court|t4,0.7892240229809077,0.03464718805620998,0.03650430516178372,threshold,0.9008403154700487,0.7202869867592273,0.858161059202588
supreme_court|t5,1.3259451863384073,0.04746179665577061,0.045518303044191626,threshold,1.087216970882967,1.231511098645728,1.4203792740310865
supreme_court|t6,1.82485997497491,0.05917652409994751,0.06226343856610767,threshold,0.903301437447176,1.7071172543035265,1.9426026956462934
media|t1,-0.9913988266195016,0.040038949742150214,0.03900764097659621,threshold,1.05357627055561,-1.0710637773270362,-0.9117338759119671
media|t2,-0.5521147006631894,0.03478961160336464,0.034337906837401524,threshold,1.0264824404014954,-0.6213351150687816,-0.48289428625759717
media|t3,-0.17354794625191533,0.034585442361700906,0.03265304315774461,threshold,1.1218617605300787,-0.24236212790969863,-0.10473376459413204
media|t4,0.3412185451352645,0.035927159252516765,0.03319464294075714,threshold,1.171412233180206,0.2697347677298738,0.4127023225406552
media|t5,0.8353517272346743,0.038587308528279386,0.0370328152330273,threshold,1.0857142008353229,0.7585750871969449,0.9121283672724038
media|t6,1.446130831568992,0.045864313780685395,0.04856519549594563,threshold,0.8918658141078329,1.3548752337048264,1.5373864294331576
elections|t1,-0.7865483914913638,0.03654004152432037,0.03642437844695846,threshold,1.0063609440888397,-0.8592516123708513,-0.7138451706118762
elections|t2,-0.3818389280568852,0.031733841423925074,0.03335457178140085,threshold,0.9051791788374277,-0.44497931832881904,-0.31869853778495133
elections|t3,0.0984286198264852,0.03488999206065477,0.03254014687915317,threshold,1.1496422696605229,0.029008479797880488,0.1678487598550899
elections|t4,0.6397244348974725,0.03599386022331678,0.035027839249041896,threshold,1.0559179086533008,0.5681079434827198,0.7113409263122253
elections|t5,1.2785627337640142,0.04342712913793919,0.04426654305884069,threshold,0.962434150976946,1.1921563688512598,1.3649690986767686
elections|t6,1.774618214204718,0.06288863679309643,0.059880489997146596,threshold,1.102995322473433,1.6494895536766454,1.8997468747327906
f1~~f1,0.2784943500933397,0.031385833502914316,0.021028544240840347,variance,2.2276600483148123,0.21604638642229565,0.3409423137643838
f2~~f2,0.28478001265256686,0.026229480833806683,0.020200198300339665,variance,1.686040969777113,0.23259157336616676,0.33696845193896696
f1~~f2,0.23729303965747156,0.01872767744993199,0.013838383620777816,variance,1.8314586180205825,0.20003083596522964,0.2745552433497135
