level,p,se,variable,factor,segment,estimator,lo,hi,expected,expected_lo,expected_hi
Urban,-0.024002655053793658,0.015195560598715798,urban,f1,1,Unweighted,-0.05378540655217252,0.0057800964445852004,3.4565485598355323,3.4142609570572775,3.4988361626137876
Rural,0.0558043252500772,0.021817501515213947,urban,f2,2,Unweighted,0.013042808047609815,0.09856584245254457,3.0308921071100587,2.9718299669589494,3.089954247261168
Urban,-0.020473164953965537,0.0155691000085799,urban,f2,2,Unweighted,-0.05098804024248438,0.010041710334553304,2.9255377578835047,2.8833906602384256,2.9676848555285837
16-29,0.09652122378471434,0.020649854749513,age_cat,f1,1,Design-based,0.05543449020823676,0.1376079573611919,3.627676667790729,3.569338892349375,3.686014443232083
30-44,-0.10310879565252616,0.023987436812233816,age_cat,f1,1,Design-based,-0.15083627061261443,-0.055381320692437896,3.3442282105507433,3.2764614529081126,3.4119949681933734
45-59,-0.04833317312170417,0.031634017176508884,age_cat,f1,1,Design-based,-0.11127494445380463,0.014608598210396298,3.422002413771729,3.332633349788621,3.511371477754837
60+,-0.004104127732664679,0.04550331885119181,age_cat,f1,1,Design-based,-0.09464145892277968,0.08643320345745033,3.4848018600477024,3.3562507186872645,3.6133530014081408
16-29,0.10665880362153629,0.021982502638799754,age_cat,f2,2,Design-based,0.06292051876576116,0.15039708847731142,3.1011322324700954,3.0407209823760066,3.161543482564184
30-44,-0.08917095942528826,0.02368320915232337,age_cat,f2,2,Design-based,-0.1362931167712354,-0.042048802079341106,2.8306524724544078,2.7655674230112046,2.8957375218976105
45-59,-0.06160672129228082,0.03155905736730378,age_cat,f2,2,Design-based,-0.12439934611719697,0.0011859035326353198,2.8687241547116566,2.7819950802893105,2.9554532291340028
60+,-0.028790398003453507,0.04205604801320978,age_cat,f2,2,Design-based,-0.11246874155398386,0.054887945547076836,2.9140500087067767,2.7984736125047043,3.0296264049088486
Secondary,0.025025524656905006,0.017431548854355244,education,f1,1,Design-based,-0.009657789695276465,0.05970883900908648,3.5261621477090297,3.4769163881143115,3.575407907303748
Primary,0.05699184974476255,0.032442067080914676,education,f1,1,Design-based,-0.007557687430804781,0.12154138692032987,3.5715501387302577,3.4798982580183906,3.663202019442125
Tertiary,-0.07792901673553468,0.024262344342139548,education,f1,1,Design-based,-0.1262034714480917,-0.029654562022977657,3.3799801956869713,3.311436798501772,3.4485235928721707
Secondary,0.03888154603755817,0.018082446286512562,education,f2,2,Design-based,0.0029031499666400673,0.07485994210847627,3.007518391138671,2.957825087201596,3.0572116950757464
Primary,0.06092172242472526,0.031178171303480735,education,f2,2,Design-based,-0.0011130586082068322,0.12295650345765735,3.0379602480206556,2.9522779062491384,3.1236425897921727
Tertiary,-0.09493246632343097,0.026091975465514873,education,f2,2,Design-based,-0.14684731305913895,-0.043017619587722974,2.8226946882090895,2.7509899837359093,2.89439939268227
Employed,-0.038601180640524285,0.01954398129493656,employment,f1,1,Design-based,-0.07748757292895708,2.8521164790851206e-4,3.4358205672861044,3.3806069880215377,3.4910341465506716
Unemployed,0.006684866074875781,0.031831904921166214,employment,f1,1,Design-based,-0.0566506397963491,0.07002037194610067,3.500120816878644,3.4101927014663396,3.590048932290949
Not in labor force,-0.06508396563903353,0.06428739127277168,employment,f1,1,Design-based,-0.19299570882518996,0.06282777754712292,3.3982184843308127,3.2166005775089803,3.5798363911526447
Student,0.1528658384384294,0.03326891300538456,employment,f1,1,Design-based,0.08667113723533827,0.21906053964152056,3.707678634140273,3.6136908361809756,3.8016664320995712
Homemaker,0.0380977695606957,0.03036018422470963,employment,f1,1,Design-based,-0.022309473768841057,0.09850501289023246,3.5447230217754053,3.4589526552937224,3.6304933882570882
Retired,-0.05074576781853154,0.0628656724602402,employment,f1,1,Design-based,-0.17582873652759273,0.07433720089052964,3.418576845579686,3.240975427679073,3.596178263480299
Employed,-0.033669943749006975,0.02211787235274851,employment,f2,2,Design-based,-0.07767757187323623,0.010337684375222284,2.9073103878150977,2.846527121223211,2.9680936544069847
Unemployed,0.02941757689388695,0.032942244105123274,employment,f2,2,Design-based,-0.036127155666055594,0.0949623094538295,2.994446771876363,2.903916490588801,3.0849770531639256
Not in labor force,-0.05597882888952718,0.065631388193567,employment,f2,2,Design-based,-0.18656470436775827,0.0746070465887039,2.8764973908265725,2.696132385470645,3.0568623961824994
Student,0.1400106865436034,0.03565541068495688,employment,f2,2,Design-based,0.06906760354650558,0.21095376954070122,3.147197800586394,3.049211326184952,3.2451842749878352
Homemaker,0.041546998329318616,0.03093949976564216,employment,f2,2,Design-based,-0.020012901208977633,0.10310689786761487,3.0111999096422513,2.9261734734425255,3.096226345841977
Retired,-0.08816817684055385,0.060866786214269115,employment,f2,2,Design-based,-0.20927398892386023,0.03293763524275255,2.832037514179664,2.664766357440505,2.9993086709188224
Male,-0.0028171419075568994,0.019334233311069753,sex,f1,1,Design-based,-0.04128620150111725,0.035651917686003454,3.4866292112028288,3.4320081896550363,3.5412502327506212
Female,0.004166957964515164,0.01838427341289197,sex,f1,1,Design-based,-0.032411979411808345,0.04074589534083867,3.496545717445374,3.444608421661778,3.54848301322897
Male,-0.0027169324756842667,0.01870675625549968,sex,f2,2,Design-based,-0.03993750955349384,0.0345036446021253,2.9500626381917137,2.8986536358060846,3.0014716405773427
Female,0.0080896480832805,0.0195367431201283,sex,f2,2,Design-based,-0.030782342507729515,0.04696163867429051,2.964988670224342,2.911298738097557,3.0186786023511276
Urban,-0.02491814233832431,0.017149212793080574,urban,f1,1,Design-based,-0.05903969649076888,0.009203411814120259,3.4552486879066784,3.406800554152017,3.5036968216613396
Rural,0.05844217336692552,0.023654061328164524,urban,f1,1,Design-based,0.011378011048065746,0.1055063356857853,3.5736094081445455,3.5067844674959425,3.640434348793149
Urban,-0.021669589517835847,0.01759469953492066,urban,f2,2,Design-based,-0.056677522547801014,0.01333834351212932,2.923885258161922,2.87553235624718,2.972238160076664
Rural,0.05864838429781921,0.025387771502357163,urban,f2,2,Design-based,0.008134682556530264,0.10916208603910815,3.0348203169834465,2.965050871767803,3.10458976219909
16-29,0.08065775039541082,0.032644128346253076,age_cat,f1,1,Bartlett,0.015706174683699267,0.14560932610712235,3.6051526151891147,3.51292989246089,3.6973753379173395
30-44,-0.21012751356600531,0.06806505927574477,age_cat,f1,1,Bartlett,-0.3455556311122381,-0.07469939601977255,3.192275660659251,2.999985487600067,3.384565833718434
45-59,-0.10348529451105228,0.08084097382377889,age_cat,f1,1,Bartlett,-0.2643334745031626,0.05736288548105804,3.3436936315284966,3.1153103022218716,3.5720769608351213
60+,-0.1846512928610383,0.1266085494975267,age_cat,f1,1,Bartlett,-0.4365625922289835,0.06726000650690692,3.2284485542725707,2.870767533309628,3.586129575235513
16-29,0.0611604203773283,0.04086455475904373,age_cat,f2,2,Bartlett,-0.02014722534089669,0.1424680660955533,3.0382899372565095,2.925987945163267,3.150591929349752
30-44,-0.08641965128656956,0.0905688839872882,age_cat,f2,2,Bartlett,-0.26662332108683173,0.09378401851369264,2.834452574918464,2.5855555502620704,3.0833495995748574
45-59,-0.1374109390310352,0.05829249443936328,age_cat,f2,2,Bartlett,-0.2533947179772239,-0.021427160084846547,2.764023488668096,2.603826876023589,2.924220101312603
60+,-0.042516824543975706,0.0842462539287899,age_cat,f2,2,Bartlett,-0.21014044378856633,0.12510679470061492,2.895091090007244,2.663569611347246,3.126612568667243
Secondary,-0.05663426652897496,0.0361715438571824,education,f1,1,Bartlett,-0.1286042926399323,0.015335759581982404,3.4102159493595687,3.308027947143371,3.5124039515757666
Primary,0.08261929036633554,0.11720927547231248,education,f1,1,Bartlett,-0.15059040202321722,0.3158289827558883,3.6079377448010868,3.2768105540730823,3.939064935529091
Tertiary,-0.19826633476849645,0.047653921128771,education,f1,1,Bartlett,-0.293082689897506,-0.10344997963948686,3.209116979618589,3.074490185220638,3.3437437740165405
Secondary,-7.904662085932689e-4,0.031048348330454723,education,f2,2,Bartlett,-0.06256694024762499,0.06098600783043845,2.952723470362953,2.8673979018042175,3.0380490389216877
Primary,0.16639911124772763,0.12511088674482504,education,f2,2,Bartlett,-0.08253230902401623,0.4153305315194715,3.183645451189213,2.839821765923525,3.527469136454901
Tertiary,-0.2129450961251466,0.048141018370486795,education,f2,2,Bartlett,-0.30873062197419165,-0.11715957027610151,2.659695829961194,2.527397012654086,2.791994647268303
